,Notes,County,COUNTYFP,Deaths,Population,Crude Rate
77,"76,76,""","Sonoma County"","" CA""""","06097""""",31,1969984,"1.6"""
78,"77,77,""","Stanislaus County"","" CA""""","06099""""",79,2203555,"3.6"""
79,"78,78,""","Tehama County"","" CA""""","06103""""",11,258992,"Unreliable"""
80,"79,79,""","Tulare County"","" CA""""","06107""""",81,1877790,"4.3"""
81,"80,80,""","Ventura County"","" CA""""","06111""""",77,3378144,"2.3"""
82,"81,81,""","Yolo County"","" CA""""","06113""""",15,877622,"Unreliable"""
83,"82,82,""","Yuba County"","" CA""""","06115""""",12,320290,"Unreliable"""
84,"83,83,""","Adams County"","" CO""""","08001""""",73,2071312,"3.5"""
85,"84,84,""","Arapahoe County"","" CO""""","08005""""",92,2620157,"3.5"""
86,"85,85,""","Boulder County"","" CO""""","08013""""",20,1308988,"1.5"""
87,"86,86,""","Broomfield County"","" CO""""","08014""""",13,287293,"Unreliable"""
88,"87,87,""","Denver County"","" CO""""","08031""""",120,2890704,"4.2"""
89,"88,88,""","Douglas County"","" CO""""","08035""""",38,1423670,"2.7"""
90,"89,89,""","El Paso County"","" CO""""","08041""""",108,2900436,"3.7"""
91,"90,90,""","Jefferson County"","" CO""""","08059""""",50,2325978,"2.1"""
92,"91,91,""","Larimer County"","" CO""""","08069""""",29,1430378,"2.0"""
93,"92,92,""","Mesa County"","" CO""""","08077""""",19,620355,"Unreliable"""
94,"93,93,""","Pueblo County"","" CO""""","08101""""",26,675398,"3.8"""
95,"94,94,""","Weld County"","" CO""""","08123""""",41,1312816,"3.1"""
96,"95,95,""","Fairfield County"","" CT""""","09001""""",79,3789349,"2.1"""
97,"96,96,""","Hartford County"","" CT""""","09003""""",126,3570497,"3.5"""
98,"97,97,""","Litchfield County"","" CT""""","09005""""",14,726054,"Unreliable"""
99,"98,98,""","New Haven County"","" CT""""","09009""""",111,3428025,"3.2"""
100,"99,99,""","New London County"","" CT""""","09011""""",16,1065794,"Unreliable"""
101,"100,100,""","Kent County"","" DE""""","10001""""",25,727128,"3.4"""
102,"101,101,""","New Castle County"","" DE""""","10003""""",89,2251327,"4.0"""
103,"102,102,""","Sussex County"","" DE""""","10005""""",19,952673,"Unreliable"""
104,"103,103,""","District of Columbia"","" DC""""","11001""""",118,2791070,"4.2"""
105,"104,104,""","Alachua County"","" FL""""","12001""""",71,1089455,"6.5"""
106,"105,105,""","Bay County"","" FL""""","12005""""",45,710482,"6.3"""
107,"106,106,""","Brevard County"","" FL""""","12009""""",77,2423878,"3.2"""
108,"107,107,""","Broward County"","" FL""""","12011""""",262,7793126,"3.4"""
109,"108,108,""","Charlotte County"","" FL""""","12015""""",11,763462,"Unreliable"""
110,"109,109,""","Citrus County"","" FL""""","12017""""",17,608679,"Unreliable"""
