,Notes,County,COUNTYFP,Deaths,Population,Crude Rate
340,"339,339,""","Benton County"","" MN""""","27009""""",11,163851,"Unreliable"""
341,"340,340,""","Carver County"","" MN""""","27019""""",11,423831,"Unreliable"""
342,"341,341,""","Dakota County"","" MN""""","27037""""",40,1728289,"2.3"""
343,"342,342,""","Hennepin County"","" MN""""","27053""""",165,5061095,"3.3"""
344,"343,343,""","Mower County"","" MN""""","27099""""",10,160381,"Unreliable"""
345,"344,344,""","Olmsted County"","" MN""""","27109""""",23,637304,"3.6"""
346,"345,345,""","Ramsey County"","" MN""""","27123""""",87,2191691,"4.0"""
347,"346,346,""","St. Louis County"","" MN""""","27137""""",21,796544,"2.6"""
348,"347,347,""","Scott County"","" MN""""","27139""""",12,600351,"Unreliable"""
349,"348,348,""","Sherburne County"","" MN""""","27141""""",10,391159,"Unreliable"""
350,"349,349,""","Stearns County"","" MN""""","27145""""",17,641316,"Unreliable"""
351,"350,350,""","Washington County"","" MN""""","27163""""",20,1059373,"1.9"""
352,"351,351,""","Wright County"","" MN""""","27171""""",10,559820,"Unreliable"""
353,"352,352,""","Bolivar County"","" MS""""","28011""""",11,122411,"Unreliable"""
354,"353,353,""","DeSoto County"","" MS""""","28033""""",43,743854,"5.8"""
355,"354,354,""","Forrest County"","" MS""""","28035""""",19,302817,"Unreliable"""
356,"355,355,""","Harrison County"","" MS""""","28047""""",33,832927,"4.0"""
357,"356,356,""","Hinds County"","" MS""""","28049""""",61,919570,"6.6"""
358,"357,357,""","Jackson County"","" MS""""","28059""""",25,574683,"4.4"""
359,"358,358,""","Jones County"","" MS""""","28067""""",22,271296,"8.1"""
360,"359,359,""","Lauderdale County"","" MS""""","28075""""",20,295281,"6.8"""
361,"360,360,""","Lee County"","" MS""""","28081""""",22,338987,"6.5"""
362,"361,361,""","Lowndes County"","" MS""""","28087""""",20,233984,"8.5"""
363,"362,362,""","Madison County"","" MS""""","28089""""",12,428586,"Unreliable"""
364,"363,363,""","Monroe County"","" MS""""","28095""""",10,139822,"Unreliable"""
365,"364,364,""","Oktibbeha County"","" MS""""","28105""""",10,200817,"Unreliable"""
366,"365,365,""","Panola County"","" MS""""","28107""""",10,135069,"Unreliable"""
367,"366,366,""","Pearl River County"","" MS""""","28109""""",11,223301,"Unreliable"""
368,"367,367,""","Rankin County"","" MS""""","28121""""",19,623244,"Unreliable"""
369,"368,368,""","Scott County"","" MS""""","28123""""",13,112070,"Unreliable"""
370,"369,369,""","Warren County"","" MS""""","28149""""",10,179977,"Unreliable"""
371,"370,370,""","Washington County"","" MS""""","28151""""",13,175496,"Unreliable"""
372,"371,371,""","Yazoo County"","" MS""""","28163""""",11,111293,"Unreliable"""
373,"372,372,""","Boone County"","" MO""""","29019""""",28,729299,"3.8"""
374,"373,373,""","Buchanan County"","" MO""""","29021""""",21,346318,"6.1"""
375,"374,374,""","Cape Girardeau County"","" MO""""","29031""""",15,319249,"Unreliable"""
376,"375,375,""","Cass County"","" MO""""","29037""""",10,427178,"Unreliable"""
377,"376,376,""","Clay County"","" MO""""","29047""""",36,1005294,"3.6"""
378,"377,377,""","Franklin County"","" MO""""","29071""""",14,417337,"Unreliable"""
379,"378,378,""","Greene County"","" MO""""","29077""""",47,1180871,"4.0"""
380,"379,379,""","Jackson County"","" MO""""","29095""""",112,2826105,"4.0"""
381,"380,380,""","Jasper County"","" MO""""","29097""""",18,486767,"Unreliable"""
382,"381,381,""","Jefferson County"","" MO""""","29099""""",22,903742,"2.4"""
383,"382,382,""","Platte County"","" MO""""","29165""""",16,422504,"Unreliable"""
384,"383,383,""","St. Charles County"","" MO""""","29183""""",44,1617389,"2.7"""
385,"384,384,""","St. Francois County"","" MO""""","29187""""",11,267933,"Unreliable"""
386,"385,385,""","St. Louis County"","" MO""""","29189""""",154,3982357,"3.9"""
387,"386,386,""","Taney County"","" MO""""","29213""""",10,224271,"Unreliable"""
388,"387,387,""","St. Louis city"","" MO""""","29510""""",80,1194369,"6.7"""
389,"388,388,""","Cascade County"","" MT""""","30013""""",11,328866,"Unreliable"""
390,"389,389,""","Flathead County"","" MT""""","30029""""",11,420217,"Unreliable"""
391,"390,390,""","Yellowstone County"","" MT""""","30111""""",19,651573,"Unreliable"""
392,"391,391,""","Douglas County"","" NE""""","31055""""",113,2297547,"4.9"""
393,"392,392,""","Hall County"","" NE""""","31079""""",17,245967,"Unreliable"""
394,"393,393,""","Lancaster County"","" NE""""","31109""""",38,1281526,"3.0"""
395,"394,394,""","Sarpy County"","" NE""""","31153""""",16,753929,"Unreliable"""
396,"395,395,""","Clark County"","" NV""""","32003""""",253,9106801,"2.8"""
397,"396,396,""","Washoe County"","" NV""""","32031""""",71,1907728,"3.7"""
398,"397,397,""","Carson City"","" NV""""","32510""""",12,226357,"Unreliable"""
399,"398,398,""","Hillsborough County"","" NH""""","33011""""",40,1675086,"2.4"""
400,"399,399,""","Merrimack County"","" NH""""","33013""""",13,610383,"Unreliable"""
401,"400,400,""","Rockingham County"","" NH""""","33015""""",18,1247199,"Unreliable"""
402,"401,401,""","Strafford County"","" NH""""","33017""""",14,524672,"Unreliable"""
403,"402,402,""","Atlantic County"","" NJ""""","34001""""",47,1067010,"4.4"""
404,"403,403,""","Bergen County"","" NJ""""","34003""""",72,3753107,"1.9"""
405,"404,404,""","Burlington County"","" NJ""""","34005""""",46,1801598,"2.6"""
406,"405,405,""","Camden County"","" NJ""""","34007""""",93,2044129,"4.5"""
407,"406,406,""","Cumberland County"","" NJ""""","34011""""",32,601134,"5.3"""
408,"407,407,""","Essex County"","" NJ""""","34013""""",116,3254160,"3.6"""
409,"408,408,""","Gloucester County"","" NJ""""","34015""""",29,1180766,"2.5"""
410,"409,409,""","Hudson County"","" NJ""""","34017""""",66,2722581,"2.4"""
411,"410,410,""","Hunterdon County"","" NJ""""","34019""""",10,503806,"Unreliable"""
412,"411,411,""","Mercer County"","" NJ""""","34021""""",51,1490378,"3.4"""
413,"412,412,""","Middlesex County"","" NJ""""","34023""""",89,3338290,"2.7"""
414,"413,413,""","Monmouth County"","" NJ""""","34025""""",45,2503884,"1.8"""
415,"414,414,""","Morris County"","" NJ""""","34027""""",30,1988141,"1.5"""
416,"415,415,""","Ocean County"","" NJ""""","34029""""",53,2472072,"2.1"""
417,"416,416,""","Passaic County"","" NJ""""","34031""""",59,2023635,"2.9"""
418,"417,417,""","Salem County"","" NJ""""","34033""""",12,252489,"Unreliable"""
419,"418,418,""","Somerset County"","" NJ""""","34035""""",35,1335076,"2.6"""
420,"419,419,""","Union County"","" NJ""""","34039""""",61,2241916,"2.7"""
421,"420,420,""","Warren County"","" NJ""""","34041""""",13,427401,"Unreliable"""
422,"421,421,""","Bernalillo County"","" NM""""","35001""""",75,2713881,"2.8"""
423,"422,422,""","Chaves County"","" NM""""","35005""""",13,258644,"Unreliable"""
424,"423,423,""","Curry County"","" NM""""","35009""""",10,195183,"Unreliable"""
425,"424,424,""","Dona Ana County"","" NM""""","35013""""",26,878487,"3.0"""
426,"425,425,""","Eddy County"","" NM""""","35015""""",12,235689,"Unreliable"""
427,"426,426,""","McKinley County"","" NM""""","35031""""",13,286261,"Unreliable"""
428,"427,427,""","Otero County"","" NM""""","35035""""",16,270775,"Unreliable"""
429,"428,428,""","Sandoval County"","" NM""""","35043""""",12,592200,"Unreliable"""
430,"429,429,""","San Juan County"","" NM""""","35045""""",23,493306,"4.7"""
431,"430,430,""","Valencia County"","" NM""""","35061""""",13,307908,"Unreliable"""
432,"431,431,""","Albany County"","" NY""""","36001""""",43,1230020,"3.5"""
433,"432,432,""","Bronx County"","" NY""""","36005""""",212,5676429,"3.7"""
434,"433,433,""","Broome County"","" NY""""","36007""""",11,768807,"Unreliable"""
435,"434,434,""","Chautauqua County"","" NY""""","36013""""",21,507681,"4.1"""
436,"435,435,""","Chemung County"","" NY""""","36015""""",11,333377,"Unreliable"""
437,"436,436,""","Dutchess County"","" NY""""","36027""""",23,1178341,"2.0"""
438,"437,437,""","Erie County"","" NY""""","36029""""",148,3706345,"4.0"""
439,"438,438,""","Jefferson County"","" NY""""","36045""""",14,445979,"Unreliable"""
440,"439,439,""","Kings County"","" NY""""","36047""""",292,10322719,"2.8"""
441,"440,440,""","Monroe County"","" NY""""","36055""""",129,2980304,"4.3"""
442,"441,441,""","Montgomery County"","" NY""""","36057""""",11,197404,"Unreliable"""
443,"442,442,""","Nassau County"","" NY""""","36059""""",108,5457508,"2.0"""
444,"443,443,""","New York County"","" NY""""","36061""""",116,6446272,"1.8"""
445,"444,444,""","Niagara County"","" NY""""","36063""""",31,839763,"3.7"""
446,"445,445,""","Oneida County"","" NY""""","36065""""",43,915868,"4.7"""
447,"446,446,""","Onondaga County"","" NY""""","36067""""",79,1854787,"4.3"""
448,"447,447,""","Ontario County"","" NY""""","36069""""",16,442240,"Unreliable"""
449,"448,448,""","Orange County"","" NY""""","36071""""",56,1556650,"3.6"""
450,"449,449,""","Oswego County"","" NY""""","36075""""",14,468755,"Unreliable"""
451,"450,450,""","Queens County"","" NY""""","36081""""",231,9089728,"2.5"""
452,"451,451,""","Rensselaer County"","" NY""""","36083""""",25,636496,"3.9"""
453,"452,452,""","Richmond County"","" NY""""","36085""""",53,1921143,"2.8"""
454,"453,453,""","Rockland County"","" NY""""","36087""""",33,1316936,"2.5"""
455,"454,454,""","St. Lawrence County"","" NY""""","36089""""",10,431023,"Unreliable"""
456,"455,455,""","Saratoga County"","" NY""""","36091""""",15,927683,"Unreliable"""
457,"456,456,""","Schenectady County"","" NY""""","36093""""",35,624096,"5.6"""
458,"457,457,""","Steuben County"","" NY""""","36101""""",13,378780,"Unreliable"""
459,"458,458,""","Suffolk County"","" NY""""","36103""""",155,5958311,"2.6"""
460,"459,459,""","Ulster County"","" NY""""","36111""""",14,716839,"Unreliable"""
461,"460,460,""","Wayne County"","" NY""""","36117""""",18,360244,"Unreliable"""
462,"461,461,""","Westchester County"","" NY""""","36119""""",76,3898815,"1.9"""
463,"462,462,""","Alamance County"","" NC""""","37001""""",25,681168,"3.7"""
464,"463,463,""","Brunswick County"","" NC""""","37019""""",17,572818,"Unreliable"""
465,"464,464,""","Buncombe County"","" NC""""","37021""""",26,1055305,"2.5"""
466,"465,465,""","Burke County"","" NC""""","37023""""",15,358896,"Unreliable"""
467,"466,466,""","Cabarrus County"","" NC""""","37025""""",29,880552,"3.3"""
468,"467,467,""","Caldwell County"","" NC""""","37027""""",14,326770,"Unreliable"""
469,"468,468,""","Catawba County"","" NC""""","37035""""",24,640233,"3.7"""
470,"469,469,""","Chatham County"","" NC""""","37037""""",15,301246,"Unreliable"""
471,"470,470,""","Cleveland County"","" NC""""","37045""""",16,394986,"Unreliable"""
472,"471,471,""","Columbus County"","" NC""""","37047""""",11,216009,"Unreliable"""
473,"472,472,""","Craven County"","" NC""""","37049""""",21,406958,"5.2"""
474,"473,473,""","Cumberland County"","" NC""""","37051""""",101,1339711,"7.5"""
475,"474,474,""","Davidson County"","" NC""""","37057""""",16,674094,"Unreliable"""
476,"475,475,""","Duplin County"","" NC""""","37061""""",12,224906,"Unreliable"""
477,"476,476,""","Durham County"","" NC""""","37063""""",51,1291659,"3.9"""
478,"477,477,""","Edgecombe County"","" NC""""","37065""""",16,202665,"Unreliable"""
479,"478,478,""","Forsyth County"","" NC""""","37067""""",84,1530760,"5.5"""
480,"479,479,""","Franklin County"","" NC""""","37069""""",16,280807,"Unreliable"""
481,"480,480,""","Gaston County"","" NC""""","37071""""",40,904799,"4.4"""
482,"481,481,""","Guilford County"","" NC""""","37081""""",127,2153775,"5.9"""
483,"482,482,""","Halifax County"","" NC""""","37083""""",20,198335,"10.1"""
484,"483,483,""","Harnett County"","" NC""""","37085""""",24,543214,"4.4"""
485,"484,484,""","Henderson County"","" NC""""","37089""""",12,469439,"Unreliable"""
486,"485,485,""","Hoke County"","" NC""""","37093""""",21,218942,"9.6"""
487,"486,486,""","Iredell County"","" NC""""","37097""""",29,737979,"3.9"""
488,"487,487,""","Johnston County"","" NC""""","37101""""",33,854764,"3.9"""
489,"488,488,""","Lee County"","" NC""""","37105""""",14,249722,"Unreliable"""
490,"489,489,""","Lenoir County"","" NC""""","37107""""",22,222351,"9.9"""
491,"490,490,""","Lincoln County"","" NC""""","37109""""",11,347648,"Unreliable"""
492,"491,491,""","Mecklenburg County"","" NC""""","37119""""",173,4455478,"3.9"""
493,"492,492,""","Moore County"","" NC""""","37125""""",12,405677,"Unreliable"""
494,"493,493,""","Nash County"","" NC""""","37127""""",13,378349,"Unreliable"""
495,"494,494,""","New Hanover County"","" NC""""","37129""""",23,932378,"2.5"""
496,"495,495,""","Onslow County"","" NC""""","37133""""",38,805724,"4.7"""
497,"496,496,""","Orange County"","" NC""""","37135""""",23,592464,"3.9"""
498,"497,497,""","Pasquotank County"","" NC""""","37139""""",10,160656,"Unreliable"""
499,"498,498,""","Pitt County"","" NC""""","37147""""",64,715749,"8.9"""
500,"499,499,""","Randolph County"","" NC""""","37151""""",25,576747,"4.3"""
501,"500,500,""","Richmond County"","" NC""""","37153""""",12,176772,"Unreliable"""
502,"501,501,""","Robeson County"","" NC""""","37155""""",39,508783,"7.7"""
503,"502,502,""","Rockingham County"","" NC""""","37157""""",17,364251,"Unreliable"""
504,"503,503,""","Rowan County"","" NC""""","37159""""",19,573995,"Unreliable"""
505,"504,504,""","Rutherford County"","" NC""""","37161""""",12,265517,"Unreliable"""
506,"505,505,""","Union County"","" NC""""","37179""""",25,963977,"2.6"""
507,"506,506,""","Vance County"","" NC""""","37181""""",12,176020,"Unreliable"""
508,"507,507,""","Wake County"","" NC""""","37183""""",188,4486541,"4.2"""
509,"508,508,""","Wayne County"","" NC""""","37191""""",40,487181,"8.2"""
510,"509,509,""","Wilson County"","" NC""""","37195""""",27,323604,"8.3"""
511,"510,510,""","Burleigh County"","" ND""""","38015""""",10,386044,"Unreliable"""
512,"511,511,""","Cass County"","" ND""""","38017""""",24,733905,"3.3"""
513,"512,512,""","Ward County"","" ND""""","38101""""",12,272922,"Unreliable"""
514,"513,513,""","Allen County"","" OH""""","39003""""",16,408664,"Unreliable"""
515,"514,514,""","Ashtabula County"","" OH""""","39007""""",14,388584,"Unreliable"""
516,"515,515,""","Butler County"","" OH""""","39017""""",83,1541394,"5.4"""
517,"516,516,""","Clark County"","" OH""""","39023""""",13,537894,"Unreliable"""
518,"517,517,""","Clermont County"","" OH""""","39025""""",31,828985,"3.7"""
519,"518,518,""","Columbiana County"","" OH""""","39029""""",14,406976,"Unreliable"""
520,"519,519,""","Cuyahoga County"","" OH""""","39035""""",280,4956199,"5.6"""
521,"520,520,""","Delaware County"","" OH""""","39041""""",14,848297,"Unreliable"""
522,"521,521,""","Erie County"","" OH""""","39043""""",20,297452,"6.7"""
523,"522,522,""","Fairfield County"","" OH""""","39045""""",25,634129,"3.9"""
524,"523,523,""","Franklin County"","" OH""""","39049""""",301,5273094,"5.7"""
525,"524,524,""","Greene County"","" OH""""","39057""""",22,675466,"3.3"""
526,"525,525,""","Hamilton County"","" OH""""","39061""""",191,3278281,"5.8"""
527,"526,526,""","Hancock County"","" OH""""","39063""""",10,301776,"Unreliable"""
528,"527,527,""","Huron County"","" OH""""","39077""""",10,233116,"Unreliable"""
529,"528,528,""","Lake County"","" OH""""","39085""""",20,922255,"2.2"""
530,"529,529,""","Licking County"","" OH""""","39089""""",30,711132,"4.2"""
531,"530,530,""","Lorain County"","" OH""""","39093""""",43,1247061,"3.4"""
532,"531,531,""","Lucas County"","" OH""""","39095""""",99,1715732,"5.8"""
533,"532,532,""","Mahoning County"","" OH""""","39099""""",40,911162,"4.4"""
534,"533,533,""","Medina County"","" OH""""","39103""""",11,722896,"Unreliable"""
535,"534,534,""","Miami County"","" OH""""","39109""""",20,429989,"4.7"""
536,"535,535,""","Montgomery County"","" OH""""","39113""""",130,2131468,"6.1"""
537,"536,536,""","Muskingum County"","" OH""""","39119""""",17,344826,"Unreliable"""
538,"537,537,""","Pickaway County"","" OH""""","39129""""",13,234534,"Unreliable"""
539,"538,538,""","Portage County"","" OH""""","39133""""",22,650358,"3.4"""
540,"539,539,""","Richland County"","" OH""""","39139""""",24,488339,"4.9"""
541,"540,540,""","Ross County"","" OH""""","39141""""",10,306908,"Unreliable"""
542,"541,541,""","Scioto County"","" OH""""","39145""""",10,298509,"Unreliable"""
543,"542,542,""","Stark County"","" OH""""","39151""""",45,1485786,"3.0"""
544,"543,543,""","Summit County"","" OH""""","39153""""",68,2159430,"3.1"""
545,"544,544,""","Trumbull County"","" OH""""","39155""""",29,794736,"3.6"""
546,"545,545,""","Tuscarawas County"","" OH""""","39157""""",10,368439,"Unreliable"""
547,"546,546,""","Warren County"","" OH""""","39165""""",21,951740,"2.2"""
548,"547,547,""","Wayne County"","" OH""""","39169""""",25,464081,"5.4"""
549,"548,548,""","Wood County"","" OH""""","39173""""",16,525098,"Unreliable"""
550,"549,549,""","Bryan County"","" OK""""","40013""""",10,191290,"Unreliable"""
551,"550,550,""","Canadian County"","" OK""""","40017""""",20,607682,"3.3"""
552,"551,551,""","Cleveland County"","" OK""""","40027""""",45,1150346,"3.9"""
553,"552,552,""","Comanche County"","" OK""""","40031""""",24,484333,"5.0"""
554,"553,553,""","Creek County"","" OK""""","40037""""",14,286640,"Unreliable"""
555,"554,554,""","Garfield County"","" OK""""","40047""""",19,244764,"Unreliable"""
556,"555,555,""","Muskogee County"","" OK""""","40101""""",15,270115,"Unreliable"""
557,"556,556,""","Oklahoma County"","" OK""""","40109""""",149,3192632,"4.7"""
558,"557,557,""","Pottawatomie County"","" OK""""","40125""""",10,291288,"Unreliable"""
559,"558,558,""","Stephens County"","" OK""""","40137""""",11,172637,"Unreliable"""
560,"559,559,""","Tulsa County"","" OK""""","40143""""",134,2630359,"5.1"""
561,"560,560,""","Clackamas County"","" OR""""","41005""""",43,1678395,"2.6"""
562,"561,561,""","Deschutes County"","" OR""""","41017""""",15,796258,"Unreliable"""
563,"562,562,""","Jackson County"","" OR""""","41029""""",19,886086,"Unreliable"""
564,"563,563,""","Lane County"","" OR""""","41039""""",27,1527853,"1.8"""
565,"564,564,""","Linn County"","" OR""""","41043""""",11,517977,"Unreliable"""
566,"565,565,""","Marion County"","" OR""""","41047""""",31,1391009,"2.2"""
567,"566,566,""","Multnomah County"","" OR""""","41051""""",83,3243749,"2.6"""
568,"567,567,""","Washington County"","" OR""""","41067""""",61,2403612,"2.5"""
569,"568,568,""","Yamhill County"","" OR""""","41071""""",12,430005,"Unreliable"""
570,"569,569,""","Allegheny County"","" PA""""","42003""""",216,4883945,"4.4"""
571,"570,570,""","Armstrong County"","" PA""""","42005""""",10,259253,"Unreliable"""
572,"571,571,""","Beaver County"","" PA""""","42007""""",20,657870,"3.0"""
573,"572,572,""","Berks County"","" PA""""","42011""""",62,1691675,"3.7"""
574,"573,573,""","Blair County"","" PA""""","42013""""",16,487095,"Unreliable"""
575,"574,574,""","Bucks County"","" PA""""","42017""""",44,2530550,"1.7"""
576,"575,575,""","Butler County"","" PA""""","42019""""",14,759149,"Unreliable"""
577,"576,576,""","Cambria County"","" PA""""","42021""""",10,522761,"Unreliable"""
578,"577,577,""","Centre County"","" PA""""","42027""""",14,644213,"Unreliable"""
579,"578,578,""","Chester County"","" PA""""","42029""""",47,2112443,"2.2"""
580,"579,579,""","Clearfield County"","" PA""""","42033""""",12,317337,"Unreliable"""
581,"580,580,""","Crawford County"","" PA""""","42039""""",12,336740,"Unreliable"""
582,"581,581,""","Cumberland County"","" PA""""","42041""""",32,1023569,"3.1"""
583,"582,582,""","Dauphin County"","" PA""""","42043""""",52,1122670,"4.6"""
584,"583,583,""","Delaware County"","" PA""""","42045""""",119,2272100,"5.2"""
585,"584,584,""","Erie County"","" PA""""","42049""""",48,1079226,"4.4"""
586,"585,585,""","Fayette County"","" PA""""","42051""""",20,514772,"3.9"""
587,"586,586,""","Franklin County"","" PA""""","42055""""",17,621788,"Unreliable"""
588,"587,587,""","Lackawanna County"","" PA""""","42069""""",25,845119,"3.0"""
589,"588,588,""","Lancaster County"","" PA""""","42071""""",71,2189125,"3.2"""
590,"589,589,""","Lawrence County"","" PA""""","42073""""",12,342276,"Unreliable"""
591,"590,590,""","Lebanon County"","" PA""""","42075""""",13,568263,"Unreliable"""
592,"591,591,""","Lehigh County"","" PA""""","42077""""",59,1483759,"4.0"""
593,"592,592,""","Luzerne County"","" PA""""","42079""""",38,1278098,"3.0"""
594,"593,593,""","Lycoming County"","" PA""""","42081""""",16,453777,"Unreliable"""
595,"594,594,""","Mercer County"","" PA""""","42085""""",13,438624,"Unreliable"""
596,"595,595,""","Monroe County"","" PA""""","42089""""",16,679205,"Unreliable"""
597,"596,596,""","Montgomery County"","" PA""""","42091""""",81,3353966,"2.4"""
598,"597,597,""","Northampton County"","" PA""""","42095""""",27,1229612,"2.2"""
599,"598,598,""","Northumberland County"","" PA""""","42097""""",14,363450,"Unreliable"""
600,"599,599,""","Philadelphia County"","" PA""""","42101""""",355,6322940,"5.6"""
601,"600,600,""","Schuylkill County"","" PA""""","42107""""",19,567399,"Unreliable"""
602,"601,601,""","Washington County"","" PA""""","42125""""",16,830484,"Unreliable"""
603,"602,602,""","Westmoreland County"","" PA""""","42129""""",50,1399654,"3.6"""
604,"603,603,""","York County"","" PA""""","42133""""",50,1806475,"2.8"""
605,"604,604,""","Kent County"","" RI""""","44003""""",16,663514,"Unreliable"""
606,"605,605,""","Providence County"","" RI""""","44007""""",97,2569783,"3.8"""
607,"606,606,""","Abbeville County"","" SC""""","45001""""",10,97771,"Unreliable"""
608,"607,607,""","Aiken County"","" SC""""","45003""""",27,683944,"3.9"""
609,"608,608,""","Anderson County"","" SC""""","45007""""",39,814301,"4.8"""
610,"609,609,""","Beaufort County"","" SC""""","45013""""",20,768241,"2.6"""
611,"610,610,""","Berkeley County"","" SC""""","45015""""",34,921686,"3.7"""
612,"611,611,""","Charleston County"","" SC""""","45019""""",78,1648316,"4.7"""
613,"612,612,""","Cherokee County"","" SC""""","45021""""",14,227746,"Unreliable"""
614,"613,613,""","Chesterfield County"","" SC""""","45025""""",11,180278,"Unreliable"""
615,"614,614,""","Darlington County"","" SC""""","45031""""",14,262684,"Unreliable"""
616,"615,615,""","Dorchester County"","" SC""""","45035""""",21,652520,"3.2"""
617,"616,616,""","Florence County"","" SC""""","45041""""",48,550544,"8.7"""
618,"617,617,""","Greenville County"","" SC""""","45045""""",78,2104075,"3.7"""
619,"618,618,""","Greenwood County"","" SC""""","45047""""",14,281867,"Unreliable"""
620,"619,619,""","Horry County"","" SC""""","45051""""",54,1429256,"3.8"""
621,"620,620,""","Kershaw County"","" SC""""","45055""""",12,265745,"Unreliable"""
622,"621,621,""","Lancaster County"","" SC""""","45057""""",10,394654,"Unreliable"""
623,"622,622,""","Laurens County"","" SC""""","45059""""",13,270173,"Unreliable"""
624,"623,623,""","Lexington County"","" SC""""","45063""""",44,1197865,"3.7"""
625,"624,624,""","Marion County"","" SC""""","45067""""",14,120638,"Unreliable"""
626,"625,625,""","Newberry County"","" SC""""","45071""""",12,153401,"Unreliable"""
627,"626,626,""","Orangeburg County"","" SC""""","45075""""",40,341414,"11.7"""
628,"627,627,""","Pickens County"","" SC""""","45077""""",12,512033,"Unreliable"""
629,"628,628,""","Richland County"","" SC""""","45079""""",81,1667693,"4.9"""
630,"629,629,""","Spartanburg County"","" SC""""","45083""""",49,1295742,"3.8"""
631,"630,630,""","Sumter County"","" SC""""","45085""""",23,424351,"5.4"""
632,"631,631,""","York County"","" SC""""","45091""""",32,1132797,"2.8"""
633,"632,632,""","Minnehaha County"","" SD""""","46099""""",42,782354,"5.4"""
634,"633,633,""","Pennington County"","" SD""""","46103""""",19,453236,"Unreliable"""
635,"634,634,""","Bedford County"","" TN""""","47003""""",11,200049,"Unreliable"""
636,"635,635,""","Bradley County"","" TN""""","47011""""",10,434070,"Unreliable"""
637,"636,636,""","Coffee County"","" TN""""","47031""""",12,228884,"Unreliable"""
638,"637,637,""","Davidson County"","" TN""""","47037""""",158,2784860,"5.7"""
639,"638,638,""","Hamblen County"","" TN""""","47063""""",15,259081,"Unreliable"""
640,"639,639,""","Hamilton County"","" TN""""","47065""""",59,1472887,"4.0"""
641,"640,640,""","Knox County"","" TN""""","47093""""",65,1897888,"3.4"""
642,"641,641,""","Lauderdale County"","" TN""""","47097""""",11,102017,"Unreliable"""
643,"642,642,""","Lincoln County"","" TN""""","47103""""",10,138456,"Unreliable"""
644,"643,643,""","Madison County"","" TN""""","47113""""",21,392724,"5.3"""
645,"644,644,""","Montgomery County"","" TN""""","47125""""",52,857094,"6.1"""
646,"645,645,""","Robertson County"","" TN""""","47147""""",19,289198,"Unreliable"""
647,"646,646,""","Rutherford County"","" TN""""","47149""""",53,1348618,"3.9"""
648,"647,647,""","Shelby County"","" TN""""","47157""""",254,3733401,"6.8"""
649,"648,648,""","Sullivan County"","" TN""""","47163""""",17,634036,"Unreliable"""
650,"649,649,""","Sumner County"","" TN""""","47165""""",17,774550,"Unreliable"""
651,"650,650,""","Washington County"","" TN""""","47179""""",18,522585,"Unreliable"""
652,"651,651,""","Williamson County"","" TN""""","47187""""",11,971224,"Unreliable"""
653,"652,652,""","Wilson County"","" TN""""","47189""""",15,585329,"Unreliable"""
654,"653,653,""","Angelina County"","" TX""""","48005""""",13,347109,"Unreliable"""
655,"654,654,""","Bell County"","" TX""""","48027""""",86,1468110,"5.9"""
656,"655,655,""","Bexar County"","" TX""""","48029""""",360,8044662,"4.5"""
657,"656,656,""","Bowie County"","" TX""""","48037""""",21,373631,"5.6"""
658,"657,657,""","Brazoria County"","" TX""""","48039""""",48,1504671,"3.2"""
659,"658,658,""","Brazos County"","" TX""""","48041""""",25,925556,"2.7"""
660,"659,659,""","Cameron County"","" TX""""","48061""""",62,1694280,"3.7"""
661,"660,660,""","Collin County"","" TX""""","48085""""",108,4221407,"2.6"""
662,"661,661,""","Comal County"","" TX""""","48091""""",25,644380,"3.9"""
663,"662,662,""","Coryell County"","" TX""""","48099""""",11,311728,"Unreliable"""
664,"663,663,""","Dallas County"","" TX""""","48113""""",557,10495226,"5.3"""
665,"664,664,""","Denton County"","" TX""""","48121""""",96,3607242,"2.7"""
666,"665,665,""","Ector County"","" TX""""","48135""""",38,657139,"5.8"""
667,"666,666,""","Ellis County"","" TX""""","48139""""",15,758700,"Unreliable"""
668,"667,667,""","El Paso County"","" TX""""","48141""""",103,3389229,"3.0"""
669,"668,668,""","Fort Bend County"","" TX""""","48157""""",106,3297779,"3.2"""
670,"669,669,""","Galveston County"","" TX""""","48167""""",41,1380180,"3.0"""
671,"670,670,""","Grayson County"","" TX""""","48181""""",18,547857,"Unreliable"""
672,"671,671,""","Gregg County"","" TX""""","48183""""",26,496082,"5.2"""
673,"672,672,""","Guadalupe County"","" TX""""","48187""""",22,678185,"3.2"""
674,"673,673,""","Harris County"","" TX""""","48201""""",846,18878227,"4.5"""
675,"674,674,""","Harrison County"","" TX""""","48203""""",12,268815,"Unreliable"""
676,"675,675,""","Hays County"","" TX""""","48209""""",22,949584,"2.3"""
677,"676,676,""","Henderson County"","" TX""""","48213""""",10,332495,"Unreliable"""
678,"677,677,""","Hidalgo County"","" TX""""","48215""""",105,3490202,"3.0"""
679,"678,678,""","Hunt County"","" TX""""","48231""""",15,398288,"Unreliable"""
680,"679,679,""","Jefferson County"","" TX""""","48245""""",63,1010397,"6.2"""
681,"680,680,""","Johnson County"","" TX""""","48251""""",21,714033,"2.9"""
682,"681,681,""","Kaufman County"","" TX""""","48257""""",24,565742,"4.2"""
683,"682,682,""","Lamar County"","" TX""""","48277""""",10,199590,"Unreliable"""
684,"683,683,""","Liberty County"","" TX""""","48291""""",11,363710,"Unreliable"""
